Row,test,total_changed_90,description_length,total_methods,total_token,total_added_lines,dmm_unit_interfacing,TokenDensity,GunningFog,LexicalDiversity
OpenStack_6124,1,85,0,19695,473,25,0.527625882,21.35600014,75.875,5.964401294
OpenStack_5385,0,24,0,0,0,1,0,5.407472642,26.57894737,7.668141593
OpenStack_5695,0,10,0,0,0,14,1.545158359,10.31671107,48.05882353,6.586065574
OpenStack_4646,3,391,0,77238,1373,35,1.523411873,24.48227052,85.64705882,7.224444444
OpenStack_6423,0,7,0,881,32,21,0,9.662619048,40.83333333,7.275316456
OpenStack_3323,0,28,0,8578,273,4,0,7.642215805,32.9,7.085987261
OpenStack_1593,3,129,0,19326,535,4,1.296069567,19.81162321,71.26086957,5.989847716
OpenStack_7219,0,12,0,661,20,1,0,6.855833333,26.66666667,6.828
OpenStack_445,0,1,0,0,0,2,0,6.218640874,22.05263158,7.081545064
OpenStack_6968,1,58,0,27886,511,9,0.518468877,11.27479036,44.64705882,6.70096463
OpenStack_1830,0,47,0,9077,287,2,0,5.952962926,27.42105263,7.225
OpenStack_2273,1,11,0,5319,111,8,0.747516172,7.932580007,41.23809524,6.275862069
OpenStack_7096,1,9,0,1298,38,1,0,6.817786775,27.44444444,6.873517787
OpenStack_7371,0,6,0,0,0,16,0,10.96710317,38.76923077,6.200371058
OpenStack_5657,0,11,0,1392,80,1,0,4.956902256,22.61904762,6.618110236
OpenStack_6034,0,57,0,0,0,2,0,7.075393939,30.55555556,7.031128405
OpenStack_6128,1,10,0,908,25,4,0,7.971340766,32.38888889,6.326315789
OpenStack_7334,0,6,0,0,0,10,0,10.42662827,36.625,6.157327586
OpenStack_7529,0,49,0,0,0,34,0.2316625,9.729497817,38.16666667,6.283062645
OpenStack_2729,1,189,0,52483,2103,36,6.238068095,42.36593804,129.9090909,5.672327672
OpenStack_3086,0,16,0,1863,68,8,0,10.02079898,44.15,4.838120104
OpenStack_2513,0,3,0,1742,49,1,0,5.495345696,25.84210526,6.878787879
OpenStack_985,1,74,0,10971,385,63,0.879468688,36.76940566,124.55,5.487750557
OpenStack_5300,0,1,0,0,0,1,0,6.295891341,26.10526316,6.87250996
OpenStack_7382,1,5,0,775,11,2,0,4.976737968,27.81818182,6.859848485
OpenStack_6452,0,39,0,3122,101,0,0,8.432236842,33.25,6.891640867
